"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf"
"v[13]",1.80816816990467,2.34097203171042,2.94320399035654,2.35354251993179,0.289693969052248,NA,0.00753659608604218,2.6,1478,0.0967385371999392,1.00389890691153
"v[14]",2.12496948365369,2.91222134677867,3.82757798264251,2.93609623851065,0.439289294111968,NA,0.00866216380244182,2,2572,0.0787277829856188,1.00043323565637
"v[15]",0.391717728242914,0.962092766518417,1.66088711462586,1.00033724349138,0.338261268026495,NA,0.00462660227120836,1.4,5345,0.0177088246619689,1.0010845568343
"v[16]",0.0194075877984324,0.110760944975815,0.239714318290275,0.120803509188796,0.0617839869612432,NA,0.00101178191878406,1.6,3729,0.0221510489273999,0.999995974676998
"v[17]",1.03840692961565,1.44253410240486,1.88740298343195,1.45344178007156,0.219483098098776,NA,0.00480922374159036,2.2,2083,0.0706017378692737,1.00237885206349
"v[18]",0.472661759626538,0.776975525245521,1.08995069589272,0.78778572614574,0.158846593765204,NA,0.00293791978081974,1.8,2923,0.0499831229011173,1.00101739803887
"v[19]",0.0943630729219647,0.244661055633396,0.437828055805601,0.255949634233269,0.09088051825407,NA,0.00134347310900408,1.5,4576,0.0254626204039465,0.999975062966531
"v[20]",0.610232040973345,0.893214471474417,1.23644415378033,0.901829258863341,0.160970451425646,NA,0.00284790728209293,1.8,3195,0.0235221435947076,1.00058997806595
"v[21]",0.276506594600355,0.503996661174922,0.762537973767266,0.514380429191968,0.127094979589482,NA,0.00200895137998325,1.6,4002,0.0203951531219996,1.00014275923056
"v[22]",0.00704232215732797,0.0692627990376833,0.167548525866258,0.0777856030471708,0.0457830012295714,NA,0.000722233232994766,1.6,4018,-3.4641746688656e-05,0.999968521918005
"v[23]",1.16747145226537,1.79568367542142,2.4761656629437,1.81568736913709,0.341329851865587,NA,0.00558701198104337,1.6,3732,0.0440810299511051,1.00063781206265
"v[24]",0.566139776163433,0.887590170238588,1.2294193452041,0.898525283679324,0.172335081290214,NA,0.00294852227294148,1.7,3416,0.019701175625563,0.99997951367516
