"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.20","psrf"
"b0",-1.65150688465346,-1.44119776497526,-1.22462021454255,-1.4396988213997,0.111690244320029,NA,0.0117042165201911,10.5,91,0.837344431564213,1.0464651674949
"b",0.257406524091192,0.418860011330438,0.563306060401104,0.415413198521997,0.0799683560037307,NA,0.00515366913356252,6.4,241,0.611494128585893,1.00102651746609
"a",1.6081754312154,1.69215096381106,1.76391545252643,1.69194920545987,0.0408085492730491,NA,0.00441846822752859,10.8,85,0.852562081462613,1.04772781407686
"ph",0.408666912609331,0.48446881262265,0.564614799860824,0.486054687348526,0.0398565121583316,NA,0.000549410326912623,1.4,5263,-0.00709284626347537,1.00040430246506
"v[1]",0.648176865659733,0.943826978724219,1.27416022372666,0.952599912456078,0.161060605863556,NA,0.00261730273570176,1.6,3787,0.0252412763689272,1.00132894884136
"v[2]",0.0725069078454139,0.238477306538622,0.453540334240426,0.252127594558831,0.10327736597822,NA,0.00123325612131036,1.2,7013,0.00346823187484823,1.00109234281456
"v[3]",0.191098513584771,0.797778568012887,1.5747803600239,0.851767982066669,0.376391076731101,NA,0.00430945450172317,1.1,7628,-0.00236709260832755,1.00015863616582
"v[4]",0.316663967367682,0.559760043382351,0.819355977288223,0.570497078925744,0.130569710810402,NA,0.0016701311780143,1.3,6112,0.0142666281380908,1.00265851287646
"v[5]",0.866196198562306,1.21082751719595,1.65367940064929,1.22312236265948,0.202169367942148,NA,0.00329323447056966,1.6,3769,0.0416590925199464,1.00165193731903
"v[6]",0.33118295551234,0.60946041562462,0.91446218995534,0.622656986869158,0.151804746519334,NA,0.00199927614877181,1.3,5765,0.0201908738343261,1.00181967120428
"v[7]",0.343077862170529,0.671093345426529,1.05671703124863,0.689057685450943,0.185316155323112,NA,0.00224914711836618,1.2,6789,0.00709492770743793,1.00014813431003
"v[8]",1.52823937078162,2.05143516565666,2.60851633264636,2.06524628671747,0.276272783569206,NA,0.00511824862074241,1.9,2914,0.0435818388803806,1.00177583445732
"v[9]",0.187430286114944,0.376945641679735,0.6055238274894,0.387963606658801,0.109048976798305,NA,0.00126816083386817,1.2,7394,0.0111702539122591,1.00055212588443
"v[10]",1.3849488989851,1.81665235296692,2.33379880009345,1.8292884497921,0.247977424073005,NA,0.00467286070907201,1.9,2816,0.0495306887625381,1.00070831157021
"v[11]",0.224270059015283,0.419808142730235,0.650368876451418,0.429380526743465,0.111144484791139,NA,0.00137696280754427,1.2,6515,0.0201176682784994,1.00066695294694
"v[12]",0.260215978228688,0.487959406091954,0.765016589205331,0.499925069666362,0.13180800980882,NA,0.0017524164337501,1.3,5657,0.0294352973136494,1.00174462366779
"v[13]",0.201461124954105,0.391648613753373,0.621162214283714,0.402696143156224,0.110958912771982,NA,0.00132932039112918,1.2,6967,0.00854946983788548,1.00058638255163
"v[14]",0.00235537379527102,0.101624824646191,0.285333139473898,0.121031804024697,0.085105422755814,NA,0.0011841128592726,1.4,5166,0.00490197486697432,0.999917785736376
"v[15]",0.400077347077816,0.948339646668225,1.6597879401295,0.98747510299598,0.337238802166013,NA,0.00382807861953606,1.1,7761,0.00867511969395353,1.00093431081875
"v[16]",0.94290394116016,1.32716393959108,1.76278112450795,1.33954890834269,0.211263457730957,NA,0.0034324464231362,1.6,3788,0.0371677757479833,1.00073336352829
"v[17]",0.267137727414854,0.474811438947403,0.722037135448263,0.485276887341736,0.120565794259685,NA,0.0014595143407388,1.2,6824,0.0257478978517572,1.00061088356389
"v[18]",1.77719053646453,2.33862141112744,2.90135015362542,2.35278125170805,0.286471102501284,NA,0.00532700306200784,1.9,2892,0.0589517143241874,1.00376083214155
"v[19]",0.369067392270603,0.625996423483777,0.923389058644534,0.636363503939885,0.144412670723431,NA,0.00169439636751982,1.2,7264,0.0143401132964397,1.000276796916
"v[20]",2.24898717099412,2.81137926534804,3.43071003546607,2.82474281754871,0.308031695383506,NA,0.00684300546687223,2.2,2026,0.0873860050081597,1.00255253159521
"v[21]",0.0828130401444352,0.229601603108262,0.403336473357779,0.240053452119107,0.085087791335208,NA,0.00107448866231201,1.3,6271,0.00461204555049127,1.00160622130025
"v[22]",0.581227294423591,0.879539352754384,1.19216335559215,0.889282787366454,0.158511530385982,NA,0.00234205475093743,1.5,4581,0.015578927250972,1.00079641730726
"v[23]",0.39435225054247,0.785174194633456,1.2619137024271,0.803659088592811,0.228662137179198,NA,0.00285609706823743,1.2,6410,0.0239515372212259,1.00054361653976
"v[24]",2.14550391750622,2.72824919862055,3.37844596700191,2.74401351973044,0.316828724135172,NA,0.00719556779971607,2.3,1939,0.0834797101057474,1.0036066266586
"v[25]",0.739222198929615,1.07365859507438,1.4596985808336,1.0847063652049,0.185382855135975,NA,0.00271328316238642,1.5,4668,0.0199115591800354,1.00075510752208
