"","first.tt","last.tt"
"292",0.34,8.91
"293",0.93,8.96
"294",7.97,16.57
"295",1.86,9.77
"296",1.45,9.56
"297",0.87,9.54
"298",9.29,17.15
"299",1.22,9.36
"300",3.74,11.43
"301",2.18,9.16
"302",0.86,9.17
"303",2.46,9.31
"304",2.23,10.72
"305",0.82,9.71
"306",9.06,17.05
"307",1.03,9.12
"308",1.19,9.16
"309",1.26,9.04
"310",1.34,9.29
"311",9.16,17.71
"312",3.87,11.85
"313",4.59,12.6
"314",0.49,9.22
"315",1.29,9.33
"316",1.69,9.48
"317",1.69,9.48
"318",6.56,15
"319",7.76,16.3
"320",1.29,4.89
"321",8.35,16.78
"322",2.33,9.42
"323",5.09,13.33
"324",0.86,9.22
"325",0.82,9.27
"326",1.37,9.37
"327",6.6,15.23
"328",0.7,4.19
"329",1.79,10.32
"330",6.46,15.03
"331",0.79,9.19
"332",3.06,11.2
"333",1.62,9.76
"334",1.07,9.23
"335",2.26,10.82
"336",9.88,18.19
"337",6.17,14.24
"338",1.4,5.56
"339",5.4,11.34
"340",1.77,10.13
"341",1.36,9.36
"342",2.87,10.9
"343",0.44,9.05
"344",9.27,17.74
"345",11.8,17.74
"346",3.06,9.78
"347",1.04,9.72
"348",6.71,12.96
"349",1.66,5.07
"350",3.85,11.94
"351",3.33,6.95
"352",3.66,12.09
"353",2.9,11.29
"354",8.15,16.64
"355",1.62,9.81
"356",9.28,17.35
"357",1.8,9.27
"358",0.95,9.38
"359",1.31,4.68
"360",2.66,11.26
"361",0.44,8.92
"362",3.4,8.56
"363",9.03,11.51
"364",2.67,5.1
"365",1.1,9.59
"366",3.58,10.32
"367",1.69,9.61
"368",0.86,9.47
"369",1.68,9.33
"370",0.61,8.99
"371",0.64,9.26
"372",1.21,9.3
"373",1.35,9.2
"374",1.02,2.93
"375",10.27,17.29
"376",5.8,14.38
"377",2.78,9.28
"378",1.62,4.6
"379",3.56,11.83
"380",0.97,8.81
"381",1.85,10.3
"382",3.43,11.84
"383",0.68,8.56
"384",0.61,9.13
"385",0.18,8.76
"386",0.58,8.73
"387",1.29,9.51
"388",5.11,8.58
"389",4.35,12.59
"390",2.87,11.42
"391",6.48,14.43
"392",0.59,8.9
"393",4.72,13.13
"394",11.67,18.71
"395",0.36,8.81
"396",1.69,9.16
"397",1.79,8.68
"398",0.59,8.65
"399",0.73,8.61
"400",0.27,8.84
